scale,version,repetition,calibration_rows,calibrated_slope,intercept_only_rmse,affine_rmse,gain
60m,v2,19,64,0.5929558519958451,0.18744505151352503,0.1606962555431593,0.026748795970365724
1B,v1,0,16,0.1552122827307147,0.10333418263367922,0.043590747602077706,0.05974343503160151
1B,v1,1,16,0.13038471125273313,0.1053991786520515,0.04932453167264582,0.05607464697940569
1B,v1,2,16,0.4138317637109511,0.10380704530278587,0.041685060559863145,0.06212198474292272
1B,v1,3,16,0.3372169276634745,0.10440427232859781,0.03872700837964029,0.06567726394895751
1B,v1,4,16,0.3429310240196412,0.09314208136676294,0.033486274498407034,0.05965580686835591
1B,v1,5,16,0.3265138609612522,0.1036106853526691,0.04030085771414853,0.06330982763852057
1B,v1,6,16,0.26191718577668915,0.105480462631306,0.03864489523130924,0.06683556739999677
1B,v1,7,16,0.4052557394834216,0.09935993005877805,0.04168059552994191,0.05767933452883614
1B,v1,8,16,0.3687517242064945,0.10786612130201514,0.042739121602938177,0.06512699969907697
1B,v1,9,16,0.3355070207580153,0.10712238982920887,0.040908206419368064,0.06621418340984081
1B,v1,10,16,0.27196819458838406,0.10819833309039854,0.039239517801909894,0.06895881528848866
1B,v1,11,16,0.2757464082750784,0.07968334023595845,0.034525532719806185,0.04515780751615227
1B,v1,12,16,0.302158955520262,0.10248139516868869,0.03895665217663758,0.0635247429920511
1B,v1,13,16,0.38358843509815393,0.10741790207818061,0.044695297255874004,0.0627226048223066
1B,v1,14,16,0.3641466446673701,0.09615894036097027,0.03685701154360282,0.05930192881736745
1B,v1,15,16,0.10291298434772314,0.10958462218770512,0.04864902926021238,0.06093559292749274
1B,v1,16,16,0.3298081571273678,0.1018916217732619,0.03667869147744857,0.06521293029581332
1B,v1,17,16,0.2444499489833108,0.10293024762869067,0.039782724519066406,0.06314752310962427
1B,v1,18,16,0.4803521872317348,0.10747653396806314,0.047693192922361134,0.05978334104570201
1B,v1,19,16,0.331716497228599,0.10571589063182858,0.03694441895144389,0.0687714716803847
1B,v2,0,16,0.19256781248810625,0.14603983045870764,0.04845799053383229,0.09758183992487535
1B,v2,1,16,0.0738594063410149,0.1252493804937518,0.055440112167464264,0.06980926832628755
1B,v2,2,16,0.1009394248989315,0.13273264246941752,0.0398379156894407,0.09289472677997682
1B,v2,3,16,0.2352397190427787,0.1364932564823494,0.04738562379824859,0.0891076326841008
1B,v2,4,16,0.2510952710736503,0.1452723066756311,0.036455053964483564,0.10881725271114753
1B,v2,5,16,0.20464109386912147,0.14417104143071585,0.045046193275270895,0.09912484815544495
1B,v2,6,16,0.18171839369587478,0.14303295588738024,0.0465754659912146,0.09645748989616565
1B,v2,7,16,0.21123032120010474,0.13638017362486032,0.03824348289344521,0.09813669073141512
1B,v2,8,16,0.1749136531299733,0.13347718504084657,0.049117333590081885,0.08435985145076469
1B,v2,9,16,0.1811057604310935,0.13071832305842934,0.04837682512234217,0.08234149793608717
1B,v2,10,16,0.27118072622484407,0.1437790796857095,0.05099486675515787,0.09278421293055163
1B,v2,11,16,0.13694474123150047,0.10935874207962179,0.03986467225479613,0.06949406982482566
1B,v2,12,16,0.21906514828714205,0.1340192442696335,0.04990374783812307,0.08411549643151042
1B,v2,13,16,0.17706622638067634,0.12299935438137499,0.03806289769961058,0.08493645668176442
1B,v2,14,16,0.15046340768468897,0.13353781748473412,0.036779508796641616,0.0967583086880925
1B,v2,15,16,0.007669014396495807,0.14834412220717896,0.057615971303081576,0.09072815090409739
1B,v2,16,16,0.0943508780770749,0.13844209282021444,0.04327193703110063,0.09517015578911381
1B,v2,17,16,0.16364946244012926,0.13285456275676852,0.04770198888286918,0.08515257387389934
1B,v2,18,16,0.09666882168282064,0.13163567448582814,0.047940198726775206,0.08369547575905292
1B,v2,19,16,0.04793941912660104,0.12354891062530202,0.049633354737929535,0.07391555588737247
