budget,split,bootstrap_replicate,cost_model,Q0,L_ctx,cap,oracle_loss,oracle_N_B,oracle_D_B,oracle_Q_B,oracle_budget_ratio
1e+19,train,124,exponential,0.8,2048,5x,3.09371067363,0.249156694447,6.26176135393,0.8,1
1e+19,train,124,exponential,0.8,2048,free,3.09371067363,0.249156694447,6.26176135393,0.8,1
1e+19,train,124,exponential,0.8,32768,1x,3.24067751943,0.182775104098,4.35827543734,0.8,1
1e+19,train,124,exponential,0.8,32768,2x,3.24067751943,0.182775094749,4.35827566028,0.8,1
1e+19,train,124,exponential,0.8,32768,3x,3.24067751943,0.182775105305,4.35827540857,0.8,1
1e+19,train,124,exponential,0.8,32768,5x,3.24067751943,0.182775088115,4.35827581847,0.8,1
1e+19,train,124,exponential,0.8,32768,free,3.24067751943,0.182775099435,4.35827554854,0.8,1
1e+19,train,124,power,0.2,2048,1x,3.24349894105,0.389439160029,2.96317621096,0.648918857638,1
1e+19,train,124,power,0.2,2048,2x,3.24349894105,0.389439060582,2.9631775925,0.648918686367,1
1e+19,train,124,power,0.2,2048,3x,3.24349894105,0.38943902853,2.9631778204,0.648918676465,1
1e+19,train,124,power,0.2,2048,5x,3.24349894105,0.389439102562,2.96317693863,0.648918773395,1
1e+19,train,124,power,0.2,2048,free,3.24349894105,0.389439157998,2.96317699484,0.648918696664,1
1e+19,train,124,power,0.2,32768,1x,3.37602585355,0.28106882294,2.04476652937,0.723512808644,1
1e+19,train,124,power,0.2,32768,2x,3.37602585355,0.28106885575,2.04476584099,0.723512971624,1
1e+19,train,124,power,0.2,32768,3x,3.37602585355,0.28106883217,2.04476637352,0.723512842556,1
1e+19,train,124,power,0.2,32768,5x,3.37602585355,0.281068805348,2.04476653196,0.723512836981,1
1e+19,train,124,power,0.2,32768,free,3.37602585355,0.281068849429,2.04476628993,0.723512840347,1
1e+19,train,124,power,0.8,2048,1x,3.09371067363,0.249156703526,6.26176112576,0.8,1
1e+19,train,124,power,0.8,2048,2x,3.09371067363,0.249156676152,6.26176181372,0.8,1
1e+19,train,124,power,0.8,2048,3x,3.09371067363,0.249156694069,6.26176136342,0.8,1
1e+19,train,124,power,0.8,2048,5x,3.09371067363,0.249156687011,6.26176154079,0.8,1
1e+19,train,124,power,0.8,2048,free,3.09371067363,0.249156683807,6.26176162132,0.8,1
1e+19,train,124,power,0.8,32768,1x,3.24067751943,0.182775104098,4.35827543734,0.8,1
1e+19,train,124,power,0.8,32768,2x,3.24067751943,0.182775100277,4.35827552846,0.8,1
1e+19,train,124,power,0.8,32768,3x,3.24067751943,0.182775108547,4.35827533126,0.8,1
1e+19,train,124,power,0.8,32768,5x,3.24067751943,0.182775090548,4.35827576045,0.8,1
