lambda_p,budget,strategy,support_class,N_B,D_B,Q_B,loss,improvement,p_optimum_tied
1.25,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,1.53307528021,0.621628992866,False
1.25,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,1.46021938188,0.694484891197,False
1.25,1e+22,P3_loose_simplex,in-support,5.43315455833,245.591189004,1,1.03841078041,1.11629349267,False
1.25,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,False
1.25,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.2943674035,0.621628992866,False
1.25,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.22151150517,0.694484891197,False
1.25,1e+24,P3_loose_simplex,in-support,39.56184334,3656.99670841,1,0.799702903701,1.11629349267,False
1.5,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,False
1.5,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.4344685805,0.74595479144,False
1.5,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.3470415025,0.833381869436,False
1.5,1e+19,P3_loose_simplex,in-support,0.311384923873,3.95550272052,0.724121163537,1.84087118074,1.3395521912,False
1.5,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,False
1.5,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,1.40874948164,0.74595479144,False
1.5,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,1.32132240364,0.833381869436,False
1.5,1e+22,P3_loose_simplex,in-support,5.43315455833,245.591189004,1,0.815152081878,1.3395521912,False
1.5,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,False
1.5,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.17004160493,0.74595479144,False
1.5,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.08261452693,0.833381869436,False
1.5,1e+24,P3_loose_simplex,in-support,39.56184334,3656.99670841,1,0.576444205168,1.3395521912,False
