family,N_params_B,D_tokens_B,val_loss,is_converged,model_name,FLOPs,publication_date,organization,accessibility,country,predicted,residual,scale_band
DeepSeek-V3 (Mar 2025),671,14800,1.8128,1,DeepSeek-V3 (Mar 2025),3.3e+24,2025-03-24,DeepSeek,Open weights (restricted use),China,1.812923852,0.0001238518702,300B-1T
DeepSeek-R1,671,14800,1.8128,1,DeepSeek-R1,3.5e+24,2025-01-20,DeepSeek,Open weights (unrestricted),China,1.812923852,0.0001238518702,300B-1T
DeepSeek-V3,671,14800,1.8128,1,DeepSeek-V3,3.3e+24,2024-12-24,DeepSeek,Open weights (restricted use),China,1.812923852,0.0001238518702,300B-1T
Pangu Ultra MoE,718,717,1.9241,1,Pangu Ultra MoE,3.089e+24,2025-05-07,Huawei,Hosted access (no API),China,1.924577482,0.0004774822419,300B-1T
GLM-5,744,1532.3,1.886,1,GLM-5,6.84e+24,2026-02-17,Z.ai (Zhipu AI),Open weights (unrestricted),China,1.886412223,0.0004122225111,300B-1T
Kimi K2 Thinking,1000,700,1.9214,1,Kimi K2 Thinking,4.2e+24,2025-11-06,Moonshot,Open weights (restricted use),China,1.921873771,0.0004737708849,300B-1T
Ling-1T,1000,20000,1.8011,1,Ling-1T,6e+24,2025-10-10,Ant Group,Open weights (unrestricted),China,1.801190516,9.051556482e-05,300B-1T
Qwen3-Max,1000,36000,1.7894,1,Qwen3-Max,1.512e+25,2025-09-05,Alibaba,API access,China,1.789422041,2.204080775e-05,300B-1T
Kimi K2,1000,15500,1.8068,1,Kimi K2,2.976e+24,2025-07-11,Moonshot,Open weights (restricted use),China,1.806927361,0.000127361265,300B-1T
DLRM-2021,1000,0.1,4.0812,1,DLRM-2021,3e+20,2020-07-01,Meta AI,Unreleased,United States of America,4.086298348,0.00509834795,300B-1T
M6-T,1002.7,111.8,2.054,1,M6-T,5.5e+21,2021-03-05,Alibaba,Unreleased,China,2.054871726,0.0008717264372,>1T
Kimi K2.5,1040,929.5,1.9059,1,Kimi K2.5,5.8e+24,2026-02-02,Moonshot,Open weights (unrestricted),China,1.906298956,0.0003989564017,>1T
PanGu-Σ,1085,329,1.967,1,PanGu-Σ,4.67e+23,2023-03-20,Huawei Noah's Ark Lab,Unreleased,China,1.967600989,0.0006009892052,>1T
MoE-1.1T,1100,112,2.0528,1,MoE-1.1T,2.227e+22,2021-12-20,Meta AI,Open weights (non-commercial),United States of America,2.05365902,0.0008590202271,>1T
GLaM,1200,600,1.9281,1,GLaM,3.636e+23,2021-12-13,Google,Unreleased,United States of America,1.928582735,0.0004827352717,>1T
QMoE: compressed SwitchTransformer,1571,576,1.9277,1,QMoE: compressed SwitchTransformer,,2023-10-25,"Institute of Science and Technology Austria (ISTA),Neural Magic",Open weights (unrestricted),"Austria,United States of America",1.928180234,0.0004802338734,>1T
Switch,1571,86.4,2.074,1,Switch,8.22e+22,2021-01-11,Google,Open weights (unrestricted),United States of America,2.074869116,0.0008691158583,>1T
Wu Dao 2.0,1750,4900,1.8325,1,Wu Dao 2.0,1.544e+24,2021-05-31,Beijing Academy of Artificial Intelligence / BAAI,API access,China,1.832756959,0.000256959299,>1T
GPT-4 (Mar 2023),1800,5416.7,1.8291,1,GPT-4 (Mar 2023),2.1e+25,2023-03-15,OpenAI,API access,United States of America,1.829308487,0.0002084865543,>1T
GPT-4 (Jun 2023),1800,5416.7,1.8291,1,GPT-4 (Jun 2023),2.1e+25,2023-03-15,OpenAI,API access,United States of America,1.829308487,0.0002084865543,>1T
Llama 4 Behemoth (preview),2000,30000,1.7857,1,Llama 4 Behemoth (preview),5.184e+25,2025-04-05,Meta AI,Unreleased,United States of America,1.785769216,6.921576568e-05,>1T
Grok 4,3000,27777.8,1.7838,1,Grok 4,5e+26,2025-07-09,xAI,API access,United States of America,1.783837528,3.752785351e-05,>1T
Grok 3,3000,19444.4,1.7912,1,Grok 3,3.5e+26,2025-02-17,xAI,API access,United States of America,1.79126665,6.665032526e-05,>1T
DLRM-2022,3000,0.1,4.0707,1,DLRM-2022,1.1e+21,2021-09-15,Facebook,Unreleased,United States of America,4.075760322,0.005060321506,>1T
M6-10T,10000,0.1,4.0628,1,M6-10T,5.53e+21,2021-10-08,Alibaba,Unreleased,China,4.067943155,0.005143155395,>1T
