budget,cap,policy,split,bootstrap_replicate,cost_model,Q0,L_ctx,N_B,D_B,Q_B,loss,cap_oracle_loss,free_oracle_loss,within_cap_regret,free_regret,feasible,cost_ratio
1e+19,1x,nominal_shared,heldout,101,logarithmic,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.38102223042,3.20239284612,3.20239284612,0.178629384304,0.178629384304,True,0.689361357391
1e+19,1x,nominal_shared,heldout,101,logarithmic,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.38102223042,3.31574878818,3.31574878818,0.0652734422438,0.0652734422438,True,1
1e+19,1x,nominal_shared,heldout,101,logarithmic,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.38102223042,3.04689548868,3.04689548868,0.334126741745,0.334126741745,True,0.330781429181
1e+19,1x,nominal_shared,heldout,101,logarithmic,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.38102223042,3.17966546795,3.17966546795,0.201356762476,0.201356762476,True,0.641420071789
1e+19,1x,nominal_shared,heldout,102,exponential,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37903793615,3.19835488663,3.19835488663,0.180683049521,0.180683049521,True,0.540502736107
1e+19,1x,nominal_shared,heldout,102,exponential,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37903793615,3.32914865018,3.32914865018,0.0498892859632,0.0498892859632,True,0.851141378715
1e+19,1x,nominal_shared,heldout,102,exponential,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37903793615,3.09162870744,3.09162870744,0.28740922871,0.28740922871,True,0.347619996946
1e+19,1x,nominal_shared,heldout,102,exponential,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37903793615,3.23844581409,3.23844581409,0.140592122055,0.140592122055,True,0.658258639554
1e+19,1x,nominal_shared,heldout,102,power,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37903793615,3.2417489107,3.2417489107,0.137289025444,0.137289025444,True,0.689361357392
1e+19,1x,nominal_shared,heldout,102,power,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37903793615,3.37397243911,3.37397243911,0.00506549704019,0.00506549704018,True,1
1e+19,1x,nominal_shared,heldout,102,power,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37903793615,3.09162870744,3.09162870744,0.28740922871,0.28740922871,True,0.356439970523
1e+19,1x,nominal_shared,heldout,102,power,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37903793615,3.23844581409,3.23844581409,0.140592122055,0.140592122055,True,0.667078613131
1e+19,1x,nominal_shared,heldout,102,logarithmic,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37903793615,3.20244419191,3.20244419191,0.176593744237,0.176593744237,True,0.689361357391
1e+19,1x,nominal_shared,heldout,102,logarithmic,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37903793615,3.31580386184,3.31580386184,0.0632340743111,0.0632340743111,True,1
1e+19,1x,nominal_shared,heldout,102,logarithmic,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37903793615,3.04694620812,3.04694620812,0.332091728027,0.332091728027,True,0.330781429181
1e+19,1x,nominal_shared,heldout,102,logarithmic,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37903793615,3.17971984906,3.17971984906,0.199318087085,0.199318087085,True,0.641420071789
1e+19,1x,nominal_shared,heldout,125,exponential,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.3791370134,3.19842021659,3.19842021659,0.180716796814,0.180716796814,True,0.540502736107
1e+19,1x,nominal_shared,heldout,125,exponential,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.3791370134,3.32931100589,3.32931100589,0.0498260075138,0.0498260075137,True,0.851141378715
1e+19,1x,nominal_shared,heldout,125,exponential,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.3791370134,3.0918063964,3.0918063964,0.287330617001,0.287330617001,True,0.347619996946
1e+19,1x,nominal_shared,heldout,125,exponential,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.3791370134,3.23871028171,3.23871028171,0.14042673169,0.14042673169,True,0.658258639554
1e+19,1x,nominal_shared,heldout,125,power,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.3791370134,3.24176884946,3.24176884946,0.13736816394,0.13736816394,True,0.689361357392
1e+19,1x,nominal_shared,heldout,125,power,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.3791370134,3.37416644384,3.37416644384,0.0049705695616,0.00497056956159,True,1
1e+19,1x,nominal_shared,heldout,125,power,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.3791370134,3.0918063964,3.0918063964,0.287330617001,0.287330617001,True,0.356439970523
