source,cost_model,budget,replicate,r_N,r_D,r_Q,Q_state,KKT_rel_error,Q_complementarity_ok,budget_ratio
joint_bootstrap,exponential,1e+19,141,2.37409053511e-20,2.37409064893e-20,2.37409095129e-20,interior,1.75302577897e-07,True,1
joint_bootstrap,exponential,1e+20,141,1.77278460987e-21,1.77278465816e-21,1.77278466072e-21,interior,2.86879882683e-08,True,1
joint_bootstrap,exponential,1e+22,141,7.43857921376e-24,7.4385793404e-24,3.55735231424e-23,upper,1.70244421246e-08,True,1
joint_bootstrap,exponential,1e+24,141,3.49291885083e-26,3.49291897037e-26,1.70289245279e-24,upper,3.42227102584e-08,True,1
joint_bootstrap,exponential,1e+19,142,2.36138053744e-20,2.36138059558e-20,2.36138091183e-20,interior,1.5854920632e-07,True,1
joint_bootstrap,exponential,1e+20,142,1.78389996698e-21,1.7838999633e-21,1.78389997824e-21,interior,8.37341244874e-09,True,1
joint_bootstrap,exponential,1e+22,142,7.43930572339e-24,7.43930631112e-24,4.72751632419e-23,upper,7.90025781027e-08,True,1
joint_bootstrap,exponential,1e+24,142,3.49348893921e-26,3.49348907345e-26,2.31317390666e-24,upper,3.84242062029e-08,True,1
joint_bootstrap,exponential,1e+19,143,2.35937737494e-20,2.35937744507e-20,2.35937763598e-20,interior,1.10641513109e-07,True,1
joint_bootstrap,exponential,1e+20,143,1.78104448856e-21,1.7810444294e-21,1.78104458328e-21,interior,8.63981066304e-08,True,1
joint_bootstrap,exponential,1e+22,143,7.43863997301e-24,7.4386402134e-24,4.45872559155e-23,upper,3.23161832822e-08,True,1
joint_bootstrap,exponential,1e+24,143,3.49294231982e-26,3.49294231966e-26,2.18942718155e-24,upper,4.70043547823e-11,True,1
joint_bootstrap,exponential,1e+19,144,2.36660470199e-20,2.36660491927e-20,2.36660527333e-20,interior,2.4141893152e-07,True,1
joint_bootstrap,exponential,1e+20,144,1.78126745141e-21,1.78126727399e-21,1.78126739335e-21,interior,9.96034084312e-08,True,1
joint_bootstrap,exponential,1e+22,144,7.43803984098e-24,7.43803984692e-24,4.6545712564e-23,upper,7.98055323214e-10,True,1
joint_bootstrap,exponential,1e+24,144,3.4925264269e-26,3.4925264052e-26,2.23938645138e-24,upper,6.21453711175e-09,True,1
joint_bootstrap,exponential,1e+19,145,2.35918762095e-20,2.35918720351e-20,2.35918761571e-20,interior,1.76944340121e-07,True,1
joint_bootstrap,exponential,1e+20,145,1.80709347854e-21,1.8070921596e-21,1.80709055067e-21,interior,1.6202097876e-06,True,1
joint_bootstrap,exponential,1e+22,145,7.43973315571e-24,7.43973288439e-24,6.07820422722e-23,upper,3.64685910983e-08,True,1
joint_bootstrap,exponential,1e+24,145,3.49451660512e-26,3.49451631972e-26,3.06877762464e-24,upper,8.16710797379e-08,True,1
joint_bootstrap,exponential,1e+19,146,2.36138011502e-20,2.36138021917e-20,2.36137961531e-20,interior,2.55720965969e-07,True,1
joint_bootstrap,exponential,1e+20,146,1.78931360872e-21,1.78931363856e-21,1.78931377484e-21,interior,9.28355324515e-08,True,1
joint_bootstrap,exponential,1e+22,146,7.43935110377e-24,7.43935122478e-24,5.51400406117e-23,upper,1.62670675389e-08,True,1
joint_bootstrap,exponential,1e+24,146,3.49326940336e-26,3.49326940217e-26,2.67476251717e-24,upper,3.38774025488e-10,True,1
joint_bootstrap,exponential,1e+19,147,2.35957181103e-20,2.35957172951e-20,2.35957168045e-20,interior,5.53421282177e-08,True,1
joint_bootstrap,exponential,1e+20,147,1.84766657542e-21,1.84766654342e-21,2.70105325401e-21,upper,1.73178532158e-08,True,1
joint_bootstrap,exponential,1e+22,147,7.43980240128e-24,7.43980264962e-24,8.0197031795e-23,upper,3.33794971647e-08,True,1
joint_bootstrap,exponential,1e+24,147,3.4938570201e-26,3.49385701936e-26,3.93777918069e-24,upper,2.11106417717e-10,True,1
joint_bootstrap,exponential,1e+19,148,2.40478641519e-20,2.40478643115e-20,2.40478694376e-20,interior,2.19800434513e-07,True,1
joint_bootstrap,exponential,1e+20,148,1.8475898555e-21,1.84758984047e-21,2.83993857097e-21,upper,8.13421131528e-09,True,1
joint_bootstrap,exponential,1e+22,148,7.43857071817e-24,7.43857042637e-24,8.1313424178e-23,upper,3.92289376858e-08,True,1
joint_bootstrap,exponential,1e+24,148,3.49290849895e-26,3.49290861952e-26,3.82576993171e-24,upper,3.45207654237e-08,True,1
joint_bootstrap,exponential,1e+19,149,2.35946084693e-20,2.35945809453e-20,2.35945757138e-20,interior,1.38826439894e-06,True,1
joint_bootstrap,exponential,1e+20,149,1.80230125343e-21,1.80230099655e-21,1.80229976741e-21,interior,8.24510620192e-07,True,1
