dataset,model,validation_domain,n,rmse,bias,spearman
test_1B,lowrank_ilr_quadratic,pubmed_abstracts,64,2.7207562202804647,2.7182071486608472,0.702014652014652
test_1B,lowrank_ilr_quadratic,uspto_backgrounds,64,2.6034498719590857,2.5998118281708082,0.9252289377289377
est_10b,v2,arxiv,63,3.4315703559684074,3.354006748984927,0.8689996159754225
est_10b,v2,freelaw,63,3.47328714263838,3.435557859915122,0.8112039170506913
est_10b,v2,pubmed_central,63,3.500920519721535,3.4438881240106816,0.8001152073732719
est_10b,v2,wikipedia_en,63,3.8521295887442055,3.832860934798393,0.4906991816693207
est_10b,v2,dm_mathematics,63,2.8882502971667936,2.7377345179476134,0.9013536866359447
est_10b,v2,github,63,3.6322105696160047,3.561572389042797,0.8223886328725039
est_10b,v2,stackexchange,63,3.5543681188683443,3.5071636363722627,0.7049335750024592
est_10b,v2,gutenberg_pg_19,63,3.56441178981393,3.547060243797586,0.5383064516129032
est_10b,v2,pile_cc,63,3.8027062815791943,3.7920789598248636,0.2778897849462366
est_10b,v2,ubuntu_irc,63,4.5191374859479305,4.468391824141629,0.7504800307219662
est_10b,v2,hackernews,63,3.608394765619282,3.5956519013816077,0.21010944700460832
est_10b,v2,pubmed_abstracts,63,3.6144304255158692,3.5924061264040494,0.5016801075268817
est_10b,v2,uspto_backgrounds,63,3.4198751339282554,3.397590495277347,0.5476016177623803
est_10b,additive_clr_spline,arxiv,63,3.4318987195740047,3.337123912087564,0.8283890168970814
est_10b,additive_clr_spline,freelaw,63,3.4904501035351463,3.443465956492742,0.7540322580645161
est_10b,additive_clr_spline,pubmed_central,63,3.5064651886476934,3.4344414437043853,0.7590725806451614
est_10b,additive_clr_spline,wikipedia_en,63,3.863087733212762,3.8390857165504713,0.3356215347917291
est_10b,additive_clr_spline,dm_mathematics,63,2.9353949351508586,2.750112705414882,0.8269969278033795
est_10b,additive_clr_spline,github,63,3.688491779400801,3.6087810083606913,0.7494719662058371
est_10b,additive_clr_spline,stackexchange,63,3.5865577911169177,3.5304730399225988,0.6062380741372869
est_10b,additive_clr_spline,gutenberg_pg_19,63,3.5743892623472293,3.555269505626059,0.48463901689708144
est_10b,additive_clr_spline,pile_cc,63,3.806352711934324,3.792846403490389,0.11170314900153609
est_10b,additive_clr_spline,ubuntu_irc,63,4.552608640755511,4.482713260290733,0.5984543010752689
