outer_fold,model,spec,inner_rmse,selected
3,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2705485662876811,False
3,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2733388273276529,False
3,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.29573860328531143,False
3,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.2730561915511251,False
3,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.26625330664966806,True
3,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.28293080511811347,False
3,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.27824777871219347,False
3,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2816299855702586,False
3,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.30383351206054454,False
3,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.28119450685088315,False
3,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.27429189152774286,False
3,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.2902014737401041,False
3,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7250821857147858,False
3,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7239304998323352,False
3,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7260063981438994,False
3,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6398369745619736,False
3,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6355273133571011,False
3,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6364389587506378,False
3,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.4227205590070321,False
