draw,Q0,L_ctx,cost_model,G,kappa,eta_N,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
13,0.6,32768,logarithmic,0.354723068452,0.975626826523,0.150021907907,1e+19,0.22544221676,2.67803463102,1,3.21863417254,1e+19,3.62245238266e+18,2.42086362818e+18,3.95668398916e+18,0.362245238266,0.242086362818,0.395668398916,1,1.7763568394e-15,False,not_applicable,False,False,False,False,False,True
13,0.6,32768,logarithmic,0.354723068452,0.975626826523,0.150021907907,1e+22,3.77811045421,206.898587982,1,2.19394389487,1e+22,4.69011430931e+21,1.87030167783e+20,5.12285552291e+21,0.469011430931,0.0187030167783,0.512285552291,1,9.68114477473e-14,False,not_applicable,False,False,False,False,False,True
13,0.6,32768,logarithmic,0.354723068452,0.975626826523,0.150021907907,1e+24,29.6494706274,2680.16350756,1,1.93778340708,1e+24,4.76792575164e+23,2.42278806923e+21,5.20784636766e+23,0.476792575164,0.00242278806923,0.520784636766,1,1.55431223448e-15,False,not_applicable,False,False,False,False,False,True
14,0.2,2048,power,0.350872906756,1.01480353674,0.16593604248,1e+19,0.38772895843,2.99100501827,0.645146460213,3.23455442013,1e+19,6.95819556234e+18,2.56679162061e+18,4.75012817056e+17,0.695819556234,0.256679162061,0.0475012817056,1,2.46913600677e-13,False,not_applicable,False,False,False,False,False,False
14,0.2,2048,power,0.350872906756,1.01480353674,0.16593604248,1e+22,5.79658829312,237.27149742,1,2.15294544544,1e+22,8.25219110542e+21,1.18445931512e+21,5.63349579463e+20,0.825219110542,0.118445931512,0.0563349579463,1,3.10862446895e-15,False,not_applicable,False,False,False,False,False,True
14,0.2,2048,power,0.350872906756,1.01480353674,0.16593604248,1e+24,40.9372009193,3739.95238866,1,1.91404421265,1e+24,9.1861909418e+23,1.86698423242e+22,6.2711063496e+22,0.91861909418,0.0186698423242,0.062711063496,1,2.88657986403e-15,False,not_applicable,False,False,False,False,False,True
15,0.6,4096,exponential,0.359181292491,0.95212817053,0.156160612087,1e+19,0.313131496905,3.91710812027,0.726881299901,3.18664308045,1e+19,7.35941957544e+18,1.63577433852e+18,1.00480608603e+18,0.735941957544,0.163577433852,0.100480608603,1,6.97220059465e-14,False,not_applicable,False,False,False,False,False,False
15,0.6,4096,exponential,0.359181292491,0.95212817053,0.156160612087,1e+22,5.43315455833,245.591189004,1,2.15470427308,1e+22,8.00600932813e+21,9.00903531598e+20,1.09308714027e+21,0.800600932813,0.0900903531598,0.109308714027,1,6.2172489379e-15,False,not_applicable,False,False,False,False,False,True
15,0.6,4096,exponential,0.359181292491,0.95212817053,0.156160612087,1e+24,39.56184334,3656.99670841,1,1.91599639637,1e+24,8.68065185239e+23,1.34149814699e+22,1.18519833291e+23,0.868065185239,0.0134149814699,0.118519833291,1,3.561595463e-13,False,not_applicable,False,False,False,False,False,True
16,0.6,32768,logarithmic,0.354436460458,1.01614420403,0.155638337273,1e+19,0.22544221676,2.67803463102,1,3.21863417254,1e+19,3.62245238266e+18,2.42086362818e+18,3.95668398916e+18,0.362245238266,0.242086362818,0.395668398916,1,5.3290705182e-15,False,not_applicable,False,False,False,False,False,True
16,0.6,32768,logarithmic,0.354436460458,1.01614420403,0.155638337273,1e+22,3.77811067688,206.898576016,1,2.19394389487,1e+22,4.69011431448e+21,1.87030156966e+20,5.12285552856e+21,0.469011431448,0.0187030156966,0.512285552856,1,9.85878045867e-14,False,not_applicable,False,False,False,False,False,True
