cost_model,Q0,L_ctx,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
exponential,0.6,4096,6.3095734448e+23,32.2481474133,2822.12995413,1,1.93268171605,6.3095734448e+23,5.46050776683e+23,1.03524350878e+22,7.45541327097e+22,0.865432158702,0.0164075038961,0.118160337402,1,9.32587340685e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,7.94328234724e+23,35.7151681825,3213.07861065,1,1.92418780021,7.94328234724e+23,6.88533857779e+23,1.17865542301e+22,9.40078227154e+22,0.866812770438,0.0148383926378,0.118348836924,1,2.22044604925e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1e+24,39.56184334,3656.99670841,1,1.91599639637,1e+24,8.68065185239e+23,1.34149814699e+22,1.18519833291e+23,0.868065185239,0.0134149814699,0.118519833291,1,3.8635761257e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1.25892541179e+24,43.8297633302,4161.01848397,1,1.90809604517,1.25892541179e+24,1.09425873219e+24,1.52638873669e+22,1.49402792235e+23,0.869200607074,0.0121245367072,0.118674856219,1,2.27151630838e-13,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1.58489319246e+24,48.5651303078,4733.23364337,1,1.90047580392,1.58489319246e+24,1.37922065201e+24,1.73629474351e+22,1.8830959302e+23,0.870229400042,0.010955279206,0.118815320752,1,1.31006316906e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1.99526231497e+24,53.8191518806,5382.82642271,1,1.89312521428,1.99526231497e+24,1.73819491674e+24,1.97458522591e+22,2.37321545966e+23,0.871161101828,0.00989636906933,0.118942529103,1,1.35447209004e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,2.51188643151e+24,59.6486839217,6120.21395466,1,1.88603427275,2.51188643151e+24,2.19037624629e+24,2.24508150649e+22,2.99059370159e+23,0.872004489856,0.00893783046209,0.119057679682,1,9.10382880193e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,3.16227766017e+24,66.1167765187,6957.21941827,1,1.87919340367,3.16227766017e+24,2.75993352881e+24,2.55212068863e+22,3.76822924467e+23,0.872767614172,0.00807051423971,0.119161871588,1,3.77475828373e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,3.98107170553e+24,73.2934389549,7907.25245831,1,1.87259343446,3.98107170553e+24,3.47729835213e+24,2.90062183982e+22,4.7476713501e+23,0.873457854902,0.00728603264239,0.119256112456,1,1.99840144433e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,5.01187233627e+24,81.2562743562,8985.5362012,1,1.86622557284,5.01187233627e+24,4.38078716881e+24,3.29616926804e+22,5.98123474782e+23,0.874081954783,0.00657672232428,0.119341322893,1,6.66133814775e-16,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,6.3095734448e+24,90.0914427627,10209.3374823,1,1.860081386,6.3095734448e+24,5.51864366058e+24,3.74509697615e+22,7.53478814458e+23,0.874646076928,0.0059355787026,0.11941834437,1,4.66293670343e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,7.94328234724e+24,99.8945532082,11598.246571,1,1.85415278132,7.94328234724e+24,6.95160995528e+24,4.25459127365e+22,9.49126479227e+23,0.875155842558,0.00535621307119,0.119487944371,1,1.04360964315e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1e+25,110.771637831,13174.4970597,1,1.84843198863,1e+25,8.75616370142e+24,4.8328081216e+22,1.19550821737e+24,0.875616370142,0.0048328081216,0.119550821737,1,7.54951656745e-15,False,not_applicable,False,False,False,False,False,True
