replicate,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
25,1e+22,5.43277153861,245.606943626,1,2.15470779581,1e+22,8.00595847809e+21,9.00961324366e+20,1.09308019754e+21,0.800595847809,0.0900961324366,0.109308019754,1,4.88498130835e-15,False,not_applicable,False,False,False,False,False,True
25,1e+24,39.5580224433,3657.34519755,1,1.91599537632,1e+24,8.68064060446e+23,1.34162598345e+22,1.1851967972e+23,0.868064060446,0.0134162598345,0.11851967972,1,4.08562073062e-14,False,not_applicable,False,False,False,False,False,True
26,1e+19,0.311408570804,3.96105857003,0.723317534729,3.17656009622,1e+19,7.40104552899e+18,1.58846505479e+18,1.01048941622e+18,0.740104552899,0.158846505479,0.101048941622,1,2.17603712827e-14,False,not_applicable,False,False,False,False,False,False
26,1e+20,0.935849252067,11.1992608378,0.945748486298,2.70102202295,1e+20,6.28849192723e+19,2.85291930831e+19,8.58588764464e+18,0.628849192723,0.285291930831,0.0858588764464,1,6.2172489379e-15,False,not_applicable,False,False,False,False,False,False
26,1e+22,5.42940268159,245.745600818,1,2.15471362994,1e+22,8.00551094441e+21,9.01469961318e+20,1.09301909428e+21,0.800551094441,0.0901469961318,0.109301909428,1,3.10862446895e-15,False,not_applicable,False,False,False,False,False,True
26,1e+24,39.5059622526,3662.10003133,1,1.9160217824,1e+24,8.68048713616e+23,1.34337020179e+22,1.18517584366e+23,0.868048713616,0.0134337020179,0.118517584366,1,4.4408920985e-14,False,not_applicable,False,False,False,False,False,True
27,1e+19,0.312693300108,3.91747383592,0.727465161228,3.17897041302,1e+19,7.34980693104e+18,1.6466994293e+18,1.00349363965e+18,0.734980693104,0.16466994293,0.100349363965,1,2.79776202206e-14,False,not_applicable,False,False,False,False,False,False
27,1e+20,0.943394458344,10.9944796812,0.952193090417,2.70152530855,1e+20,6.2232787222e+19,2.9270362896e+19,8.49684988204e+18,0.62232787222,0.29270362896,0.0849684988204,1,4.88498130835e-15,False,not_applicable,False,False,False,False,False,False
27,1e+22,5.43973542983,245.320815568,1,2.15465583731,1e+22,8.00688199272e+21,8.99911719211e+20,1.09320628807e+21,0.800688199272,0.0899911719211,0.109320628807,1,1.55431223448e-14,False,not_applicable,False,False,False,False,False,True
27,1e+24,39.6477356799,3649.18029084,1,1.91593010786,1e+24,8.68090413719e+23,1.33863084616e+22,1.1852327782e+23,0.868090413719,0.0133863084616,0.11852327782,1,2.46469511467e-14,False,not_applicable,False,False,False,False,False,True
