replicate,cost_model,Q0,L_ctx,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
23,logarithmic,0.6,32768,1e+19,0.225455283482,2.67791699286,1,3.21860538368,1e+19,3.62250320859e+18,2.42075728678e+18,3.95673950463e+18,0.362250320859,0.242075728678,0.395673950463,1,0,False,not_applicable,False,False,False,False,False,True
23,logarithmic,0.6,32768,1e+22,3.77762331411,206.924769341,1,2.19394477562,1e+22,4.69010299757e+21,1.87053834952e+20,5.12284316748e+21,0.469010299757,0.0187053834952,0.512284316748,1,1.15907283771e-13,False,not_applicable,False,False,False,False,False,True
23,logarithmic,0.6,32768,1e+24,29.6415095258,2680.88160004,1,1.93779224708,1e+24,4.7679226491e+23,2.42343720347e+21,5.20784297886e+23,0.47679226491,0.00242343720347,0.520784297886,1,4.21884749358e-15,False,not_applicable,False,False,False,False,False,True
24,exponential,0.8,32768,1e+19,0.183229153013,4.34747546256,0.8,3.23548574544,1e+19,4.7795054805e+18,0,5.2204945195e+18,0.47795054805,0,0.52204945195,1,3.5527136788e-15,False,not_applicable,False,False,False,False,True,False
24,exponential,0.8,32768,1e+22,3.94269471589,191.15270303,1,2.19694367924,1e+22,4.52194051299e+21,5.38894596013e+20,4.93916489099e+21,0.452194051299,0.0538894596013,0.493916489099,1,1.44328993201e-13,False,not_applicable,False,False,False,False,False,True
24,exponential,0.8,32768,1e+24,29.834178987,2650.09099699,1,1.93796798492,1e+24,4.74379734817e+23,7.47109350055e+21,5.18149171683e+23,0.474379734817,0.00747109350055,0.518149171683,1,2.03836947321e-13,False,not_applicable,False,False,False,False,False,True
25,power,0.8,32768,1e+19,0.183849848259,4.33279795601,0.8,3.24357370848,1e+19,4.7795054805e+18,0,5.2204945195e+18,0.47795054805,0,0.52204945195,1,0.0887291225962,False,not_applicable,False,False,False,False,True,False
25,power,0.8,32768,1e+22,3.95251855544,190.221341207,1,2.19715467898,1e+22,4.51112028458e+21,5.61533399244e+20,4.92734631617e+21,0.451112028458,0.0561533399244,0.492734631617,1,1.35447209004e-13,False,not_applicable,False,False,False,False,False,True
25,power,0.8,32768,1e+24,29.8340853205,2649.16681129,1,1.93799118926,1e+24,4.74212812057e+23,7.82034042693e+21,5.17966847516e+23,0.474212812057,0.00782034042693,0.517966847516,1,2.41362485554e-13,False,not_applicable,False,False,False,False,False,True
26,logarithmic,0.8,32768,1e+19,0.194960804636,3.51024826881,1,3.17975385671,1e+19,4.10616496175e+18,1.40880792269e+18,4.48502711556e+18,0.410616496175,0.140880792269,0.448502711556,1,1.7763568394e-15,False,not_applicable,False,False,False,False,False,True
26,logarithmic,0.8,32768,1e+22,3.73051474701,211.717589069,1,2.19312913055,1e+22,4.73889352934e+21,8.49710316801e+19,5.17613543898e+21,0.473889352934,0.00849710316801,0.517613543898,1,8.61533067109e-14,False,not_applicable,False,False,False,False,False,True
26,logarithmic,0.8,32768,1e+24,29.5634665858,2691.57793446,1,1.93775384166,1e+24,4.7743424597e+23,1.080241632e+21,5.21485512398e+23,0.47743424597,0.001080241632,0.521485512398,1,2.0694557179e-13,False,not_applicable,False,False,False,False,False,True
27,exponential,0.2,2048,1e+19,0.371794791452,3.06756512921,0.751820862349,3.19525791871,1e+19,6.84302842488e+18,2.68982083465e+18,4.67150740472e+17,0.684302842488,0.268982083465,0.0467150740472,1,3.06865644006e-13,False,not_applicable,False,False,False,False,False,False
27,exponential,0.2,2048,1e+22,5.66140597701,248.210190347,1,2.15110037925,1e+22,8.43131193112e+21,9.93110507711e+20,5.75577561165e+20,0.843131193112,0.0993110507711,0.0575577561165,1,5.3290705182e-15,False,not_applicable,False,False,False,False,False,True
27,exponential,0.2,2048,1e+24,40.8528337089,3761.49970807,1,1.91384847118,1e+24,9.22007532419e+23,1.50500867011e+22,6.29423808798e+22,0.922007532419,0.0150500867011,0.0629423808798,1,3.77475828373e-15,False,not_applicable,False,False,False,False,False,True
28,power,0.2,2048,1e+19,0.392478330682,2.93569790413,0.651123109173,3.24090948642,1e+19,6.9131868768e+18,2.61487289908e+18,4.71940224123e+17,0.69131868768,0.261487289908,0.0471940224123,1,5.68434188608e-14,False,not_applicable,False,False,False,False,False,False
28,power,0.2,2048,1e+22,5.7969262544,237.259302844,1,2.15293963115,1e+22,8.25224809055e+21,1.1843984398e+21,5.63353469648e+20,0.825224809055,0.11843984398,0.0563353469648,1,5.77315972805e-15,False,not_applicable,False,False,False,False,False,True
28,power,0.2,2048,1e+24,40.9412056337,3739.59338991,1,1.91403066008,1e+24,9.18620771778e+23,1.86680502024e+22,6.271117802e+22,0.918620771778,0.0186680502024,0.06271117802,1,2.44249065418e-15,False,not_applicable,False,False,False,False,False,True
29,logarithmic,0.2,2048,1e+19,0.460796540907,1.80112435938,1,3.20246762649,1e+19,4.97971124728e+18,4.6803404649e+18,3.39948287814e+17,0.497971124728,0.46803404649,0.0339948287814,1,1.33226762955e-15,False,not_applicable,False,False,False,False,False,True
29,logarithmic,0.2,2048,1e+22,5.44014623417,266.896359305,1,2.14849653385,1e+22,8.71173134391e+21,6.93547796342e+20,5.94720859745e+20,0.871173134391,0.0693547796342,0.0594720859745,1,7.1054273576e-15,False,not_applicable,False,False,False,False,False,True
29,logarithmic,0.2,2048,1e+24,40.4785387921,3816.06842924,1,1.91372826545,1e+24,9.26813243679e+23,9.91630555279e+21,6.32704507685e+22,0.926813243679,0.00991630555279,0.0632704507685,1,3.10862446895e-15,False,not_applicable,False,False,False,False,False,True
30,exponential,0.6,2048,1e+19,0.317889406392,4.15377459818,0.716415311262,3.1693906769,1e+19,7.92264564782e+18,1.53650174263e+18,5.40852609558e+17,0.792264564782,0.153650174263,0.0540852609558,1,1.4699352846e-13,False,not_applicable,False,False,False,False,False,False
30,exponential,0.6,2048,1e+22,5.60395042923,252.605714707,1,2.15052830057,1e+22,8.49353942014e+21,9.26634955448e+20,5.79825624415e+20,0.849353942014,0.0926634955448,0.0579825624415,1,1.33226762955e-15,False,not_applicable,False,False,False,False,False,True
30,exponential,0.6,2048,1e+24,40.6846311228,3781.56876433,1,1.91385704091,1e+24,9.23110381454e+23,1.3871949839e+22,6.30176687072e+22,0.923110381454,0.013871949839,0.0630176687072,1,2.41584530158e-13,False,not_applicable,False,False,False,False,False,True
31,power,0.6,2048,1e+19,0.277308400746,5.62608185026,0.6,3.17899490875,1e+19,9.36095856216e+18,0,6.39041437843e+17,0.936095856216,0,0.0639041437843,1,2.35367281221e-14,False,not_applicable,False,False,False,False,True,False
31,power,0.6,2048,1e+22,5.70332175564,244.450896658,1,2.15178207697,1e+22,8.36509270258e+21,1.06385030226e+21,5.71056995163e+20,0.836509270258,0.106385030226,0.0571056995163,1,2.22044604925e-15,False,not_applicable,False,False,False,False,False,True
31,power,0.6,2048,1e+24,40.7936630475,3761.90082967,1,1.91395673569,1e+24,9.20770289181e+23,1.63717924107e+22,6.28579184081e+22,0.920770289181,0.0163717924107,0.0628579184081,1,2.10720330074e-13,False,not_applicable,False,False,False,False,False,True
32,logarithmic,0.6,2048,1e+19,0.333415317723,3.28836054392,1,3.09290429392,1e+19,6.57833865323e+18,2.97258009471e+18,4.49081252061e+17,0.657833865323,0.297258009471,0.0449081252061,1,4.4408920985e-15,False,not_applicable,False,False,False,False,False,True
32,logarithmic,0.6,2048,1e+22,5.16672025895,293.939723449,1,2.14508978619,1e+22,9.11222594432e+21,2.65712764552e+20,6.22061291132e+20,0.911222594432,0.0265712764552,0.0622061291132,1,3.10862446895e-15,False,not_applicable,False,False,False,False,False,True
32,logarithmic,0.6,2048,1e+24,40.2238323688,3865.14290377,1,1.9134832503,1e+24,9.32825161457e+23,3.49397418729e+21,6.36808643555e+22,0.932825161457,0.00349397418729,0.0636808643555,1,2.81996648255e-14,False,not_applicable,False,False,False,False,False,True
33,exponential,0.8,2048,1e+19,0.248808324199,6.2705287911,0.8,3.08715303396,1e+19,9.36095856216e+18,0,6.39041437843e+17,0.936095856216,0,0.0639041437843,1,2.39808173319e-14,False,not_applicable,False,False,False,False,True,False
33,exponential,0.8,2048,1e+22,5.47891301592,263.596125886,1,2.14893274767,1e+22,8.66532147039e+21,7.43125917229e+20,5.91552612379e+20,0.866532147039,0.0743125917229,0.0591552612379,1,1.06581410364e-14,False,not_applicable,False,False,False,False,False,True
33,exponential,0.8,2048,1e+24,40.5810131693,3803.33349278,1,1.91381037741,1e+24,9.26058759346e+23,1.07222960157e+22,6.3218944638e+22,0.926058759346,0.0107222960157,0.063218944638,1,1.81188397619e-13,False,not_applicable,False,False,False,False,False,True
34,power,0.8,2048,1e+19,0.25022720553,6.23497256046,0.8,3.08692073663,1e+19,9.36095856216e+18,0,6.39041437843e+17,0.936095856216,0,0.0639041437843,1,1.33226762955e-15,False,not_applicable,False,False,False,False,True,False
34,power,0.8,2048,1e+22,5.49910958718,261.786321726,1,2.14918116038,1e+22,8.63755002958e+21,7.72793221735e+20,5.89656748686e+20,0.863755002958,0.0772793221735,0.0589656748686,1,4.4320103143e-13,False,not_applicable,False,False,False,False,False,True
34,power,0.8,2048,1e+24,40.6043982859,3799.24845257,1,1.91379124485,1e+24,9.25597184131e+23,1.1215381432e+22,6.31874344367e+22,0.925597184131,0.011215381432,0.0631874344367,1,4.48974191158e-13,False,not_applicable,False,False,False,False,False,True
